"decimalLatitude","decimalLongitude"
34.298333,-114.456389
34.284167,-114.296111
34.334383,-114.21105
34.467217,-114.422483
32.5559,-112.6331
34.594778,-114.566139
32.3156,-110.817
31.8277,-111.6463
32.3527,-111.0962
33.3499,-110.9449
32.2554,-111.2089
31.816667,-110.916667
32.5877,-110.5319
32.2724,-111.1568
32.2787,-111.1826
31.81389,-111.8225
32.253611,-111.410278
31.8605,-113.368972
34.32945,-116.68867
35.610867,-115.3957
34.776783,-115.60765
34.8558,-114.883933
35.234817,-115.503283
32.6743,-116.1243
34.244,-116.46607
33.208333,-114.208333
31.816667,-110.916667
33.38306,-114.44389
32.3036,-113.2062
32.5751,-114.3099
36.0992,-112.2096
32.3117,-114.0516
35.833333,-114.65
32.583333,-114.15
36.1,-113.933333
33.083333,-114.108333
32.2265,-113.796
32.5751,-114.3099
32.2265,-113.796
32.23611,-113.79944
33.33,-113.9535
33.016667,-111.691667
32.166667,-113.716667
33.5879,-113.1526
32.5751,-114.3099
31.983333,-111.5
32.266389,-113.554167
31.5573,-111.4615
31.7425,-110.883333
35.791667,-113.375
36.01556,-114.73694
32.1551,-110.7124
36.2184,-114.0043
32.5645,-110.5079
36.01556,-114.73694
32.37167,-112.8613
32.108333,-113.15
35.25,-114.25
36.03667,-114.32167
32.88194,-113.64583
32.0578,-110.3915
33.3566,-114.1046
35.827561,-114.73722
32.6378,-110.6625
33.083333,-111.741667
32.220278,-113.804167
33.016667,-111.691667
32.216667,-111.5
32.558333,-114.35
32.141667,-112.666667
31.9644,-111.0883
33.33,-113.9541
35.791667,-113.358333
33.083333,-114.133333
33.33,-113.9535
33.3216,-112.306
32.1142,-112.1487
32.816667,-114.483333
33.208333,-114.208333
32.558333,-114.141667
33.3608,-114.0992
35.025,-114.383333
32.55,-112.883333
32.322,-110.809
33.3608,-114.0992
32.216667,-111.5
32.216667,-111.5
32.159035,-112.922191
32.058333,-112.716667
33.3595,-114.1063
33.33,-113.9535
32.225,-113.795833
32.216667,-111.5
32.1205,-113.1958
33.4,-114.008333
35.991454,-114.73722
32.216667,-111.5
32.025,-112.708333
32.216667,-111.5
33.646,-112.9274
32.61556,-112.98389
32.370274,-112.988361
36.1167,-114.0083
34.545947,-113.720166
32.725261,-114.692608
33.3608,-114.0992
33.083333,-114.108333
34.2166,-113.7487
32.311111,-114.052222
33.33,-113.9535
33.33,-113.9535
33.3608,-114.0992
32.1162,-113.2202
32.025,-112.708333
32.37167,-112.86
34.2232,-113.5988
32.216667,-111.5
31.8277,-111.6463
32.188889,-113.716667
33.5289,-113.9133
31.8277,-111.6463
36.0992,-112.2096
32.45,-112.866667
33.3608,-114.0992
33.7467,-113.4445
31.811,-110.815
33.866667,-113.708333
32.5667,-112.8764
34.5,-113.4167
32.216667,-111.5
32.733333,-113.733333
35.864167,-114.6035
32.5559,-112.6331
32.561833,-112.6465
31.32055555,-110.36666666
34.938933,-114.8426
35.061683,-114.954933
32.5483,-111.1018
32.5085,-111.0225
32.8114,-112.5081
32.4961,-111.0447
27.903611,-110.849167
24.129667,-110.433139
28.69566,-112.57689
29.25,-113.25
29.1,-113.2
29.78333,-114.7667
29.65833,-112.575
28.64167,-112.6083
28.64167,-112.6083
28.641667,-112.6
29.658333,-112.566667
28.641667,-112.6
28.692053,-112.555536
29.2121,-113.239
28.955556,-112.408333
28.8417,-112.40865
28.97947,-112.31818
28.97947,-112.31818
32.1207,-112.6842
28.72565,-112.2929
28.82676,-112.42984
28.8,-112.5167
26.01667,-102.7333
29.53333,-112.3833
30.6,-109.2167
28.8,-112.5167
28.77083,-112.2542
28.98333,-112.4917
28.78333,-112.2667
28.98333,-112.4917
28.95,-112.45
29.78333,-112.7306
27.96667,-109.7333
26.75139,-109.1417
27.11667,-109.0333
25,-110.6667
28.85,-111.3833
28.16667,-111.0583
27.25,-109.2833
26.93333,-109.0583
28.756292,-112.323544
36.633261,-111.762636
36.16667,-111.8
36.3,-112.75
36.05556,-112.13889
36.1,-112.11667
36.61667,-111.75
36.08333,-112.03333
36.16667,-113.16667
36.05556,-112.13889
35.02639,-114.373923
34.101667,-112.9975
33.063916,-114.166992
35.78477,-113.52711
34.70139,-114.55972
34.66667,-114.63333
34.75,-114.5
34.70139,-114.55972
35.77389,-113.52278
33.493512,-112.7798
33.487185,-112.25444
36.01556,-114.73694
34.76958,-114.023582
36.01556,-114.73694
36.03667,-114.32167
34.7597,-111.6482
34.7309,-111.6482
33.741091,-114.62361
33.35944,-114.10556
35.52917,-113.42472
34.54364,-114.23564
34.44808,-114.18582
35.44518,-114.76516
34.58356,-114.18729
35.76989,-113.37129
35.85559,-113.65357
35.85385,-113.65769
35.96602,-113.57972
35.109833,-114.651833
34.708167,-114.426833
35.0775,-114.43
35.03295,-114.690067
36.07141,-113.631305
34.5012,-114.59045
34.423944,-112.320778
35.16555,-114.6519
35.035067,-114.95735
35.599545,-115.345148
36.928889,-113.801944
33.33,-113.95278
33.77233,-113.334
36.11972,-112.0821
36.051389,-111.898611
36.021111,-111.932222
34.149194,-114.062667
36.09696,-113.323327
36.132191,-112.117764
